0,1,Match_Name
Aryan Dutt (Netherlands),7 Pts,10 Feb IST-NAM vs NED
Jan Frylinck (Namibia),7 Pts,10 Feb IST-NAM vs NED
Louren Steenkamp (Namibia),7 Pts,10 Feb IST-NAM vs NED
Bas de Leede (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Bernard Scholtz (Namibia),5 Pts,10 Feb IST-NAM vs NED
Colin Ackermann (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Dylan Leicher (Namibia),5 Pts,10 Feb IST-NAM vs NED
Fred Klaassen (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Gerhard Erasmus (Namibia),5 Pts,10 Feb IST-NAM vs NED
Jan Nicol Loftie-Eaton (Namibia),5 Pts,10 Feb IST-NAM vs NED
JJ Smit (Namibia),5 Pts,10 Feb IST-NAM vs NED
Logan van Beek (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Max Heingo (Namibia),5 Pts,10 Feb IST-NAM vs NED
Max O'Dowd (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Michael Levitt (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Roelof van der Merwe (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Ruben Trumpelmann (Namibia),5 Pts,10 Feb IST-NAM vs NED
Scott Edwards (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Timm van der Gugten (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Willem Myburgh (Namibia),5 Pts,10 Feb IST-NAM vs NED
Zach Lion-Cachet (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Zane Green (Namibia),5 Pts,10 Feb IST-NAM vs NED
Ben Shikongo (Namibia),0 Pts,10 Feb IST-NAM vs NED
Jack Brassell (Namibia),0 Pts,10 Feb IST-NAM vs NED
Jan Balt (Namibia),0 Pts,10 Feb IST-NAM vs NED
Kyle Klein (Netherlands),0 Pts,10 Feb IST-NAM vs NED
Malan Kruger (Namibia),0 Pts,10 Feb IST-NAM vs NED
Noah Croes (Netherlands),0 Pts,10 Feb IST-NAM vs NED
Paul van Meekeren (Netherlands),0 Pts,10 Feb IST-NAM vs NED
Saqib Zulfiqar (Netherlands),0 Pts,10 Feb IST-NAM vs NED
Lungi Ngidi (South Africa),274 Pts,09 Feb IST-CAN vs SA
Ansh Patel (Canada),163 Pts,09 Feb IST-CAN vs SA
Aiden Markram (South Africa),116 Pts,09 Feb IST-CAN vs SA
Marco Jansen (South Africa),116 Pts,09 Feb IST-CAN vs SA
Tristan Stubbs (South Africa),105 Pts,09 Feb IST-CAN vs SA
Navneet Dhaliwal (Canada),98 Pts,09 Feb IST-CAN vs SA
David Miller (South Africa),81 Pts,09 Feb IST-CAN vs SA
Corbin Bosch (South Africa),76 Pts,09 Feb IST-CAN vs SA
Ryan Rickelton (South Africa),68 Pts,09 Feb IST-CAN vs SA
Quinton de Kock (South Africa),67 Pts,09 Feb IST-CAN vs SA
Kagiso Rabada (South Africa),60 Pts,09 Feb IST-CAN vs SA
Harsh Thaker (Canada),54 Pts,09 Feb IST-CAN vs SA
Dilon Heyliger (Canada),20 Pts,09 Feb IST-CAN vs SA
Yuvraj Samra (Canada),20 Pts,09 Feb IST-CAN vs SA
Dewald Brevis (South Africa),17 Pts,09 Feb IST-CAN vs SA
Dilpreet Bajwa (Canada),17 Pts,09 Feb IST-CAN vs SA
Nicholas Kirton (Canada),15 Pts,09 Feb IST-CAN vs SA
Keshav Maharaj (South Africa),14 Pts,09 Feb IST-CAN vs SA
Ajayveer Hundal (Canada),0 Pts,09 Feb IST-CAN vs SA
Anrich Nortje (South Africa),0 Pts,09 Feb IST-CAN vs SA
Donovan Ferreira (South Africa),0 Pts,09 Feb IST-CAN vs SA
George Linde (South Africa),0 Pts,09 Feb IST-CAN vs SA
Jason Smith (South Africa),0 Pts,09 Feb IST-CAN vs SA
Kanwarpal Tathgur (Canada),0 Pts,09 Feb IST-CAN vs SA
Kwena Maphaka (South Africa),0 Pts,09 Feb IST-CAN vs SA
Manjot Buttar (Canada),0 Pts,09 Feb IST-CAN vs SA
Ravinderpal Singh (Canada),0 Pts,09 Feb IST-CAN vs SA
Shivam Sharma (Canada),0 Pts,09 Feb IST-CAN vs SA
Tony de Zorzi (South Africa),0 Pts,09 Feb IST-CAN vs SA
Saad Bin Zafar (Canada),-2 Pts,09 Feb IST-CAN vs SA
Jaskaran Singh (Canada),-11 Pts,09 Feb IST-CAN vs SA
Kaleem Sana (Canada),-11 Pts,09 Feb IST-CAN vs SA
Shreyas Movva (Canada),-14 Pts,09 Feb IST-CAN vs SA
Blessing Muzarbani (Zimbabwe),273 Pts,09 Feb IST-OM vs ZIM
Richard Ngarava (Zimbabwe),219 Pts,09 Feb IST-OM vs ZIM
Brad Evans (Zimbabwe),197 Pts,09 Feb IST-OM vs ZIM
Sufyan Mehmood (Oman),171 Pts,09 Feb IST-OM vs ZIM
Sikandar Raza (Zimbabwe),89 Pts,09 Feb IST-OM vs ZIM
Brian Bennett (Zimbabwe),86 Pts,09 Feb IST-OM vs ZIM
Brendan Taylor (Zimbabwe),84 Pts,09 Feb IST-OM vs ZIM
Vinayak Shukla (Oman),57 Pts,09 Feb IST-OM vs ZIM
Tadiwanashe Marumani (Zimbabwe),56 Pts,09 Feb IST-OM vs ZIM
Wasim Ali (Oman),35 Pts,09 Feb IST-OM vs ZIM
Dion Myers (Zimbabwe),30 Pts,09 Feb IST-OM vs ZIM
Shah Faisal (Oman),29 Pts,09 Feb IST-OM vs ZIM
Wellington Masakadza (Zimbabwe),25 Pts,09 Feb IST-OM vs ZIM
Tashinga Musekiwa (Zimbabwe),20 Pts,09 Feb IST-OM vs ZIM
Nadeem Khan (Oman),15 Pts,09 Feb IST-OM vs ZIM
Ryan Burl (Zimbabwe),10 Pts,09 Feb IST-OM vs ZIM
Aamir Kaleem (Oman),6 Pts,09 Feb IST-OM vs ZIM
Jatinder Singh (Oman),6 Pts,09 Feb IST-OM vs ZIM
Jiten Ramanandi (Oman),6 Pts,09 Feb IST-OM vs ZIM
Ashish Odedara (Oman),0 Pts,09 Feb IST-OM vs ZIM
Clive Madande (Zimbabwe),0 Pts,09 Feb IST-OM vs ZIM
Graeme Cremer (Zimbabwe),0 Pts,09 Feb IST-OM vs ZIM
Hassnain Shah (Oman),0 Pts,09 Feb IST-OM vs ZIM
Jay Odedra (Oman),0 Pts,09 Feb IST-OM vs ZIM
Mohammad Nadeem (Oman),0 Pts,09 Feb IST-OM vs ZIM
Shafiq Jan (Oman),0 Pts,09 Feb IST-OM vs ZIM
Tinotenda Maposa (Zimbabwe),0 Pts,09 Feb IST-OM vs ZIM
Tony Munyonga (Zimbabwe),0 Pts,09 Feb IST-OM vs ZIM
Hammad Mirza (Oman),-5 Pts,09 Feb IST-OM vs ZIM
Karan Sonavale (Oman),-5 Pts,09 Feb IST-OM vs ZIM
Shakeel Ahmed (Oman),-9 Pts,09 Feb IST-OM vs ZIM
Michael Leask (Scotland),352 Pts,09 Feb IST-SCO vs ITA
George Munsey (Scotland),196 Pts,09 Feb IST-SCO vs ITA
Mark Watt (Scotland),131 Pts,09 Feb IST-SCO vs ITA
Brandon McMullen (Scotland),130 Pts,09 Feb IST-SCO vs ITA
Harry Manenti (Italy),98 Pts,09 Feb IST-SCO vs ITA
JJ Smuts (Italy),89 Pts,09 Feb IST-SCO vs ITA
Ali Hasan (Italy),76 Pts,09 Feb IST-SCO vs ITA
Michael Jones (Scotland),72 Pts,09 Feb IST-SCO vs ITA
Ben Manenti (Italy),64 Pts,09 Feb IST-SCO vs ITA
Brad Currie (Scotland),64 Pts,09 Feb IST-SCO vs ITA
Richie Berrington (Scotland),57 Pts,09 Feb IST-SCO vs ITA
Brad Wheal (Scotland),35 Pts,09 Feb IST-SCO vs ITA
Oliver Davidson (Scotland),32 Pts,09 Feb IST-SCO vs ITA
Thomas Draca (Italy),28 Pts,09 Feb IST-SCO vs ITA
Grant Stewart (Italy),24 Pts,09 Feb IST-SCO vs ITA
