0,1,Match_Name
Shadley van Schalkwyk (United States),227 Pts,07 Feb IST-IND vs USA
Suryakumar Yadav (India),202 Pts,07 Feb IST-IND vs USA
Mohammed Siraj (India),186 Pts,07 Feb IST-IND vs USA
Arshdeep Singh (India),146 Pts,07 Feb IST-IND vs USA
Axar Patel (India),146 Pts,07 Feb IST-IND vs USA
Harmeet Singh (United States),114 Pts,07 Feb IST-IND vs USA
Mohammad Mohsin (United States),107 Pts,07 Feb IST-IND vs USA
Tilak Varma (India),90 Pts,07 Feb IST-IND vs USA
Varun Chakravarthy (India),80 Pts,07 Feb IST-IND vs USA
Shubham Ranjane (United States),74 Pts,07 Feb IST-IND vs USA
Sanjay Krishnamurthi (United States),67 Pts,07 Feb IST-IND vs USA
Milind Kumar (United States),64 Pts,07 Feb IST-IND vs USA
Ali Khan (United States),62 Pts,07 Feb IST-IND vs USA
Ishan Kishan (India),55 Pts,07 Feb IST-IND vs USA
Andries Gous (United States),23 Pts,07 Feb IST-IND vs USA
Hardik Pandya (India),12 Pts,07 Feb IST-IND vs USA
Saiteja Mukkamalla (United States),12 Pts,07 Feb IST-IND vs USA
Shivam Dube (India),10 Pts,07 Feb IST-IND vs USA
Monank Patel (United States),5 Pts,07 Feb IST-IND vs USA
Saurabh Netravalkar (United States),1 Pts,07 Feb IST-IND vs USA
Abhishek Sharma (India),0 Pts,07 Feb IST-IND vs USA
Harshit Rana (India),0 Pts,07 Feb IST-IND vs USA
Jasdeep Singh (United States),0 Pts,07 Feb IST-IND vs USA
Jasprit Bumrah (India),0 Pts,07 Feb IST-IND vs USA
Kuldeep Yadav (India),0 Pts,07 Feb IST-IND vs USA
Nosthush Kenjige (United States),0 Pts,07 Feb IST-IND vs USA
Sanju Samson (India),0 Pts,07 Feb IST-IND vs USA
Shayan Jahangir (United States),0 Pts,07 Feb IST-IND vs USA
Shehan Jayasuriya (United States),0 Pts,07 Feb IST-IND vs USA
Washington Sundar (India),0 Pts,07 Feb IST-IND vs USA
Rinku Singh (India),-4 Pts,07 Feb IST-IND vs USA
