0,1,Match_Name
Salman Ali Mirza (Pakistan),180 Pts,07 Feb IST-NED vs PAK
Paul van Meekeren (Netherlands),165 Pts,07 Feb IST-NED vs PAK
Saim Ayub (Pakistan),162 Pts,07 Feb IST-NED vs PAK
Abrar Ahmad (Pakistan),143 Pts,07 Feb IST-NED vs PAK
Faheem Ashraf (Pakistan),137 Pts,07 Feb IST-NED vs PAK
Aryan Dutt (Netherlands),126 Pts,07 Feb IST-NED vs PAK
Sahibzada Farhan (Pakistan),120 Pts,07 Feb IST-NED vs PAK
Roelof van der Merwe (Netherlands),104 Pts,07 Feb IST-NED vs PAK
Mohammad Nawaz (Pakistan),92 Pts,07 Feb IST-NED vs PAK
Scott Edwards (Netherlands),87 Pts,07 Feb IST-NED vs PAK
Shaheen Shah Afridi (Pakistan),63 Pts,07 Feb IST-NED vs PAK
Kyle Klein (Netherlands),62 Pts,07 Feb IST-NED vs PAK
Salman Ali Agha (Pakistan),55 Pts,07 Feb IST-NED vs PAK
Michael Levitt (Netherlands),54 Pts,07 Feb IST-NED vs PAK
Bas de Leede (Netherlands),41 Pts,07 Feb IST-NED vs PAK
Colin Ackermann (Netherlands),39 Pts,07 Feb IST-NED vs PAK
Logan van Beek (Netherlands),36 Pts,07 Feb IST-NED vs PAK
Usman Khan (Pakistan),30 Pts,07 Feb IST-NED vs PAK
Zach Lion-Cachet (Netherlands),15 Pts,07 Feb IST-NED vs PAK
Babar Azam (Pakistan),6 Pts,07 Feb IST-NED vs PAK
Max O'Dowd (Netherlands),6 Pts,07 Feb IST-NED vs PAK
Shadab Khan (Pakistan),4 Pts,07 Feb IST-NED vs PAK
Fakhar Zaman (Pakistan),0 Pts,07 Feb IST-NED vs PAK
Fred Klaassen (Netherlands),0 Pts,07 Feb IST-NED vs PAK
Khwaja Nafay (Pakistan),0 Pts,07 Feb IST-NED vs PAK
Naseem Shah (Pakistan),0 Pts,07 Feb IST-NED vs PAK
Noah Croes (Netherlands),0 Pts,07 Feb IST-NED vs PAK
Saqib Zulfiqar (Netherlands),0 Pts,07 Feb IST-NED vs PAK
Timm van der Gugten (Netherlands),0 Pts,07 Feb IST-NED vs PAK
Usman Tariq (Pakistan),0 Pts,07 Feb IST-NED vs PAK
