0,1,Match_Name
Romario Shepherd (West Indies),315 Pts,07 Feb IST-SCO vs WI
Shimron Hetmyer (West Indies),183 Pts,07 Feb IST-SCO vs WI
Jason Holder (West Indies),173 Pts,07 Feb IST-SCO vs WI
Brad Currie (Scotland),138 Pts,07 Feb IST-SCO vs WI
Sherfane Rutherford (West Indies),102 Pts,07 Feb IST-SCO vs WI
Richie Berrington (Scotland),84 Pts,07 Feb IST-SCO vs WI
Rovman Powell (West Indies),84 Pts,07 Feb IST-SCO vs WI
Shamar Joseph (West Indies),72 Pts,07 Feb IST-SCO vs WI
Gudakesh Motie (West Indies),60 Pts,07 Feb IST-SCO vs WI
Tom Bruce (Scotland),55 Pts,07 Feb IST-SCO vs WI
Brandon King (West Indies),51 Pts,07 Feb IST-SCO vs WI
Oliver Davidson (Scotland),40 Pts,07 Feb IST-SCO vs WI
George Munsey (Scotland),37 Pts,07 Feb IST-SCO vs WI
Michael Jones (Scotland),31 Pts,07 Feb IST-SCO vs WI
Safyaan Sharif (Scotland),28 Pts,07 Feb IST-SCO vs WI
Michael Leask (Scotland),26 Pts,07 Feb IST-SCO vs WI
Brandon McMullen (Scotland),24 Pts,07 Feb IST-SCO vs WI
Mark Watt (Scotland),20 Pts,07 Feb IST-SCO vs WI
Matthew Forde (West Indies),16 Pts,07 Feb IST-SCO vs WI
Shai Hope (West Indies),1 Pts,07 Feb IST-SCO vs WI
Brad Wheal (Scotland),0 Pts,07 Feb IST-SCO vs WI
Chris Greaves (Scotland),0 Pts,07 Feb IST-SCO vs WI
Finlay McCreath (Scotland),0 Pts,07 Feb IST-SCO vs WI
Jayden Seales (West Indies),0 Pts,07 Feb IST-SCO vs WI
Johnson Charles (West Indies),0 Pts,07 Feb IST-SCO vs WI
Nicholas Pooran (West Indies),0 Pts,07 Feb IST-SCO vs WI
Quentin Sampson (West Indies),0 Pts,07 Feb IST-SCO vs WI
Roston Chase (West Indies),0 Pts,07 Feb IST-SCO vs WI
Zainullah Ihsan (Scotland),0 Pts,07 Feb IST-SCO vs WI
Akeal Hosein (West Indies),-9 Pts,07 Feb IST-SCO vs WI
Matthew Cross (Scotland),-13 Pts,07 Feb IST-SCO vs WI
