0,1,Match_Name
Tim Seifert (New Zealand),198 Pts,08 Feb IST-AFG vs NZ
Mujeeb Ur Rahman (Afghanistan),126 Pts,08 Feb IST-AFG vs NZ
Glenn Phillips (New Zealand),119 Pts,08 Feb IST-AFG vs NZ
Gulbadin Naib (Afghanistan),114 Pts,08 Feb IST-AFG vs NZ
Lockie Ferguson (New Zealand),109 Pts,08 Feb IST-AFG vs NZ
Matt Henry (New Zealand),71 Pts,08 Feb IST-AFG vs NZ
Mark Chapman (New Zealand),67 Pts,08 Feb IST-AFG vs NZ
Daryl Mitchell (New Zealand),63 Pts,08 Feb IST-AFG vs NZ
Mohammad Nabi (Afghanistan),59 Pts,08 Feb IST-AFG vs NZ
Mitchell Santner (New Zealand),55 Pts,08 Feb IST-AFG vs NZ
Rashid Khan (Afghanistan),55 Pts,08 Feb IST-AFG vs NZ
Azmatullah Omarzai (Afghanistan),51 Pts,08 Feb IST-AFG vs NZ
Rahmanullah Gurbaz (Afghanistan),46 Pts,08 Feb IST-AFG vs NZ
Sediqullah Atal (Afghanistan),46 Pts,08 Feb IST-AFG vs NZ
Rachin Ravindra (New Zealand),42 Pts,08 Feb IST-AFG vs NZ
Darwish Rasooli (Afghanistan),38 Pts,08 Feb IST-AFG vs NZ
Jacob Duffy (New Zealand),34 Pts,08 Feb IST-AFG vs NZ
Finn Allen (New Zealand),6 Pts,08 Feb IST-AFG vs NZ
James Neesham (New Zealand),1 Pts,08 Feb IST-AFG vs NZ
Abdullah Ahmadzai (Afghanistan),0 Pts,08 Feb IST-AFG vs NZ
Adam Milne (New Zealand),0 Pts,08 Feb IST-AFG vs NZ
Cole McConchie (New Zealand),0 Pts,08 Feb IST-AFG vs NZ
Devon Conway (New Zealand),0 Pts,08 Feb IST-AFG vs NZ
Ish Sodhi (New Zealand),0 Pts,08 Feb IST-AFG vs NZ
Kyle Jamieson (New Zealand),0 Pts,08 Feb IST-AFG vs NZ
Michael Bracewell (New Zealand),0 Pts,08 Feb IST-AFG vs NZ
Mohammad Ishaq (Afghanistan),0 Pts,08 Feb IST-AFG vs NZ
Naveen-ul-Haq (Afghanistan),0 Pts,08 Feb IST-AFG vs NZ
Noor Ahmad (Afghanistan),0 Pts,08 Feb IST-AFG vs NZ
Shahidullah Kamal (Afghanistan),0 Pts,08 Feb IST-AFG vs NZ
Ziaur Rahman (Afghanistan),0 Pts,08 Feb IST-AFG vs NZ
Fazalhaq Farooqi (Afghanistan),-10 Pts,08 Feb IST-AFG vs NZ
Ibrahim Zadran (Afghanistan),-14 Pts,08 Feb IST-AFG vs NZ
