0,1,Match_Name
Will Jacks (England),194 Pts,08 Feb IST-ENG vs NEP
Dipendra Singh Airee (Nepal),192 Pts,08 Feb IST-ENG vs NEP
Liam Dawson (England),138 Pts,08 Feb IST-ENG vs NEP
Nandan Yadav (Nepal),104 Pts,08 Feb IST-ENG vs NEP
Harry Brook (England),103 Pts,08 Feb IST-ENG vs NEP
Jacob Bethell (England),102 Pts,08 Feb IST-ENG vs NEP
Lokesh Bam (Nepal),92 Pts,08 Feb IST-ENG vs NEP
Sandeep Lamichhane (Nepal),81 Pts,08 Feb IST-ENG vs NEP
Jos Buttler (England),71 Pts,08 Feb IST-ENG vs NEP
Sam Curran (England),63 Pts,08 Feb IST-ENG vs NEP
Kushal Bhurtel (Nepal),52 Pts,08 Feb IST-ENG vs NEP
Rohit Paudel (Nepal),50 Pts,08 Feb IST-ENG vs NEP
Luke Wood (England),47 Pts,08 Feb IST-ENG vs NEP
Sher Malla (Nepal),40 Pts,08 Feb IST-ENG vs NEP
Jofra Archer (England),34 Pts,08 Feb IST-ENG vs NEP
Aasif Sheikh (Nepal),33 Pts,08 Feb IST-ENG vs NEP
Aarif Sheikh (Nepal),17 Pts,08 Feb IST-ENG vs NEP
Tom Banton (England),17 Pts,08 Feb IST-ENG vs NEP
Phil Salt (England),16 Pts,08 Feb IST-ENG vs NEP
Karan KC (Nepal),2 Pts,08 Feb IST-ENG vs NEP
Gulsan Jha (Nepal),1 Pts,08 Feb IST-ENG vs NEP
Basir Ahamad (Nepal),0 Pts,08 Feb IST-ENG vs NEP
Ben Duckett (England),0 Pts,08 Feb IST-ENG vs NEP
Jamie Overton (England),0 Pts,08 Feb IST-ENG vs NEP
Josh Tongue (England),0 Pts,08 Feb IST-ENG vs NEP
Lalit Rajbanshi (Nepal),0 Pts,08 Feb IST-ENG vs NEP
Rehan Ahmed (England),0 Pts,08 Feb IST-ENG vs NEP
Sompal Kami (Nepal),0 Pts,08 Feb IST-ENG vs NEP
Sundeep Jora (Nepal),0 Pts,08 Feb IST-ENG vs NEP
Adil Rashid (England),-7 Pts,08 Feb IST-ENG vs NEP
