0,1,Match_Name
Maheesh Theekshana (Sri Lanka),195 Pts,08 Feb IST-SL vs IRE
Wanindu Hasaranga (Sri Lanka),183 Pts,08 Feb IST-SL vs IRE
George Dockrell (Ireland),177 Pts,08 Feb IST-SL vs IRE
Kamindu Mendis (Sri Lanka),167 Pts,08 Feb IST-SL vs IRE
Matheesha Pathirana (Sri Lanka),109 Pts,08 Feb IST-SL vs IRE
Kusal Mendis (Sri Lanka),106 Pts,08 Feb IST-SL vs IRE
Barry McCarthy (Ireland),88 Pts,08 Feb IST-SL vs IRE
Ross Adair (Ireland),66 Pts,08 Feb IST-SL vs IRE
Mark Adair (Ireland),65 Pts,08 Feb IST-SL vs IRE
Dushmantha Chameera (Sri Lanka),63 Pts,08 Feb IST-SL vs IRE
Harry Tector (Ireland),53 Pts,08 Feb IST-SL vs IRE
Gareth Delany (Ireland),51 Pts,08 Feb IST-SL vs IRE
Dasun Shanaka (Sri Lanka),43 Pts,08 Feb IST-SL vs IRE
Dunith Wellalage (Sri Lanka),37 Pts,08 Feb IST-SL vs IRE
Kamil Mishara (Sri Lanka),36 Pts,08 Feb IST-SL vs IRE
Pathum Nissanka (Sri Lanka),27 Pts,08 Feb IST-SL vs IRE
Pavan Rathnayake (Sri Lanka),20 Pts,08 Feb IST-SL vs IRE
Lorcan Tucker (Ireland),18 Pts,08 Feb IST-SL vs IRE
Curtis Camphar (Ireland),9 Pts,08 Feb IST-SL vs IRE
Ben Calitz (Ireland),4 Pts,08 Feb IST-SL vs IRE
Ben White (Ireland),0 Pts,08 Feb IST-SL vs IRE
Charith Asalanka (Sri Lanka),0 Pts,08 Feb IST-SL vs IRE
Craig Young (Ireland),0 Pts,08 Feb IST-SL vs IRE
Dhananjaya de Silva (Sri Lanka),0 Pts,08 Feb IST-SL vs IRE
Dushan Hemantha (Sri Lanka),0 Pts,08 Feb IST-SL vs IRE
Eshan Malinga (Sri Lanka),0 Pts,08 Feb IST-SL vs IRE
Janith Liyanage (Sri Lanka),0 Pts,08 Feb IST-SL vs IRE
Josh Little (Ireland),0 Pts,08 Feb IST-SL vs IRE
Kusal Perera (Sri Lanka),0 Pts,08 Feb IST-SL vs IRE
Pramod Madushan (Sri Lanka),0 Pts,08 Feb IST-SL vs IRE
Tim Tector (Ireland),0 Pts,08 Feb IST-SL vs IRE
Paul Stirling (Ireland),-8 Pts,08 Feb IST-SL vs IRE
Matthew Humphreys (Ireland),-11 Pts,08 Feb IST-SL vs IRE
