0,1,Match_Name
Lungi Ngidi (South Africa),274 Pts,09 Feb IST-CAN vs SA
Ansh Patel (Canada),163 Pts,09 Feb IST-CAN vs SA
Aiden Markram (South Africa),116 Pts,09 Feb IST-CAN vs SA
Marco Jansen (South Africa),116 Pts,09 Feb IST-CAN vs SA
Tristan Stubbs (South Africa),105 Pts,09 Feb IST-CAN vs SA
Navneet Dhaliwal (Canada),98 Pts,09 Feb IST-CAN vs SA
David Miller (South Africa),81 Pts,09 Feb IST-CAN vs SA
Corbin Bosch (South Africa),76 Pts,09 Feb IST-CAN vs SA
Ryan Rickelton (South Africa),68 Pts,09 Feb IST-CAN vs SA
Quinton de Kock (South Africa),67 Pts,09 Feb IST-CAN vs SA
Kagiso Rabada (South Africa),60 Pts,09 Feb IST-CAN vs SA
Harsh Thaker (Canada),54 Pts,09 Feb IST-CAN vs SA
Dilon Heyliger (Canada),20 Pts,09 Feb IST-CAN vs SA
Yuvraj Samra (Canada),20 Pts,09 Feb IST-CAN vs SA
Dewald Brevis (South Africa),17 Pts,09 Feb IST-CAN vs SA
Dilpreet Bajwa (Canada),17 Pts,09 Feb IST-CAN vs SA
Nicholas Kirton (Canada),15 Pts,09 Feb IST-CAN vs SA
Keshav Maharaj (South Africa),14 Pts,09 Feb IST-CAN vs SA
Ajayveer Hundal (Canada),0 Pts,09 Feb IST-CAN vs SA
Anrich Nortje (South Africa),0 Pts,09 Feb IST-CAN vs SA
Donovan Ferreira (South Africa),0 Pts,09 Feb IST-CAN vs SA
George Linde (South Africa),0 Pts,09 Feb IST-CAN vs SA
Jason Smith (South Africa),0 Pts,09 Feb IST-CAN vs SA
Kanwarpal Tathgur (Canada),0 Pts,09 Feb IST-CAN vs SA
Kwena Maphaka (South Africa),0 Pts,09 Feb IST-CAN vs SA
Manjot Buttar (Canada),0 Pts,09 Feb IST-CAN vs SA
Ravinderpal Singh (Canada),0 Pts,09 Feb IST-CAN vs SA
Shivam Sharma (Canada),0 Pts,09 Feb IST-CAN vs SA
Tony de Zorzi (South Africa),0 Pts,09 Feb IST-CAN vs SA
Saad Bin Zafar (Canada),-2 Pts,09 Feb IST-CAN vs SA
Jaskaran Singh (Canada),-11 Pts,09 Feb IST-CAN vs SA
Kaleem Sana (Canada),-11 Pts,09 Feb IST-CAN vs SA
Shreyas Movva (Canada),-14 Pts,09 Feb IST-CAN vs SA
