0,1,Match_Name
Blessing Muzarbani (Zimbabwe),273 Pts,09 Feb IST-OM vs ZIM
Richard Ngarava (Zimbabwe),219 Pts,09 Feb IST-OM vs ZIM
Brad Evans (Zimbabwe),197 Pts,09 Feb IST-OM vs ZIM
Sufyan Mehmood (Oman),171 Pts,09 Feb IST-OM vs ZIM
Sikandar Raza (Zimbabwe),89 Pts,09 Feb IST-OM vs ZIM
Brian Bennett (Zimbabwe),86 Pts,09 Feb IST-OM vs ZIM
Brendan Taylor (Zimbabwe),84 Pts,09 Feb IST-OM vs ZIM
Vinayak Shukla (Oman),57 Pts,09 Feb IST-OM vs ZIM
Tadiwanashe Marumani (Zimbabwe),56 Pts,09 Feb IST-OM vs ZIM
Wasim Ali (Oman),35 Pts,09 Feb IST-OM vs ZIM
Dion Myers (Zimbabwe),30 Pts,09 Feb IST-OM vs ZIM
Shah Faisal (Oman),29 Pts,09 Feb IST-OM vs ZIM
Wellington Masakadza (Zimbabwe),25 Pts,09 Feb IST-OM vs ZIM
Tashinga Musekiwa (Zimbabwe),20 Pts,09 Feb IST-OM vs ZIM
Nadeem Khan (Oman),15 Pts,09 Feb IST-OM vs ZIM
Ryan Burl (Zimbabwe),10 Pts,09 Feb IST-OM vs ZIM
Aamir Kaleem (Oman),6 Pts,09 Feb IST-OM vs ZIM
Jatinder Singh (Oman),6 Pts,09 Feb IST-OM vs ZIM
Jiten Ramanandi (Oman),6 Pts,09 Feb IST-OM vs ZIM
Ashish Odedara (Oman),0 Pts,09 Feb IST-OM vs ZIM
Clive Madande (Zimbabwe),0 Pts,09 Feb IST-OM vs ZIM
Graeme Cremer (Zimbabwe),0 Pts,09 Feb IST-OM vs ZIM
Hassnain Shah (Oman),0 Pts,09 Feb IST-OM vs ZIM
Jay Odedra (Oman),0 Pts,09 Feb IST-OM vs ZIM
Mohammad Nadeem (Oman),0 Pts,09 Feb IST-OM vs ZIM
Shafiq Jan (Oman),0 Pts,09 Feb IST-OM vs ZIM
Tinotenda Maposa (Zimbabwe),0 Pts,09 Feb IST-OM vs ZIM
Tony Munyonga (Zimbabwe),0 Pts,09 Feb IST-OM vs ZIM
Hammad Mirza (Oman),-5 Pts,09 Feb IST-OM vs ZIM
Karan Sonavale (Oman),-5 Pts,09 Feb IST-OM vs ZIM
Shakeel Ahmed (Oman),-9 Pts,09 Feb IST-OM vs ZIM
