0,1,Match_Name
Michael Leask (Scotland),352 Pts,09 Feb IST-SCO vs ITA
George Munsey (Scotland),196 Pts,09 Feb IST-SCO vs ITA
Mark Watt (Scotland),131 Pts,09 Feb IST-SCO vs ITA
Brandon McMullen (Scotland),130 Pts,09 Feb IST-SCO vs ITA
Harry Manenti (Italy),98 Pts,09 Feb IST-SCO vs ITA
JJ Smuts (Italy),89 Pts,09 Feb IST-SCO vs ITA
Ali Hasan (Italy),76 Pts,09 Feb IST-SCO vs ITA
Michael Jones (Scotland),72 Pts,09 Feb IST-SCO vs ITA
Ben Manenti (Italy),64 Pts,09 Feb IST-SCO vs ITA
Brad Currie (Scotland),64 Pts,09 Feb IST-SCO vs ITA
Richie Berrington (Scotland),57 Pts,09 Feb IST-SCO vs ITA
Brad Wheal (Scotland),35 Pts,09 Feb IST-SCO vs ITA
Oliver Davidson (Scotland),32 Pts,09 Feb IST-SCO vs ITA
Thomas Draca (Italy),28 Pts,09 Feb IST-SCO vs ITA
Grant Stewart (Italy),24 Pts,09 Feb IST-SCO vs ITA
Anthony Mosca (Italy),11 Pts,09 Feb IST-SCO vs ITA
Matthew Cross (Scotland),10 Pts,09 Feb IST-SCO vs ITA
Tom Bruce (Scotland),6 Pts,09 Feb IST-SCO vs ITA
Gian-Piero Meade (Italy),5 Pts,09 Feb IST-SCO vs ITA
Justin Mosca (Italy),5 Pts,09 Feb IST-SCO vs ITA
Wayne Madsen (Italy),5 Pts,09 Feb IST-SCO vs ITA
Chris Greaves (Scotland),0 Pts,09 Feb IST-SCO vs ITA
Finlay McCreath (Scotland),0 Pts,09 Feb IST-SCO vs ITA
Jaspreet Singh (Italy),0 Pts,09 Feb IST-SCO vs ITA
Marcus Campopiano (Italy),0 Pts,09 Feb IST-SCO vs ITA
Safyaan Sharif (Scotland),0 Pts,09 Feb IST-SCO vs ITA
Syed Naqvi (Italy),0 Pts,09 Feb IST-SCO vs ITA
Zain Ali (Italy),0 Pts,09 Feb IST-SCO vs ITA
Zainullah Ihsan (Scotland),0 Pts,09 Feb IST-SCO vs ITA
Crishan Kalugamage (Italy),-12 Pts,09 Feb IST-SCO vs ITA
