0,1,Match_Name
Aryan Dutt (Netherlands),7 Pts,10 Feb IST-NAM vs NED
Jan Frylinck (Namibia),7 Pts,10 Feb IST-NAM vs NED
Louren Steenkamp (Namibia),7 Pts,10 Feb IST-NAM vs NED
Bas de Leede (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Bernard Scholtz (Namibia),5 Pts,10 Feb IST-NAM vs NED
Colin Ackermann (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Dylan Leicher (Namibia),5 Pts,10 Feb IST-NAM vs NED
Fred Klaassen (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Gerhard Erasmus (Namibia),5 Pts,10 Feb IST-NAM vs NED
Jan Nicol Loftie-Eaton (Namibia),5 Pts,10 Feb IST-NAM vs NED
JJ Smit (Namibia),5 Pts,10 Feb IST-NAM vs NED
Logan van Beek (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Max Heingo (Namibia),5 Pts,10 Feb IST-NAM vs NED
Max O'Dowd (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Michael Levitt (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Roelof van der Merwe (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Ruben Trumpelmann (Namibia),5 Pts,10 Feb IST-NAM vs NED
Scott Edwards (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Timm van der Gugten (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Willem Myburgh (Namibia),5 Pts,10 Feb IST-NAM vs NED
Zach Lion-Cachet (Netherlands),5 Pts,10 Feb IST-NAM vs NED
Zane Green (Namibia),5 Pts,10 Feb IST-NAM vs NED
Ben Shikongo (Namibia),0 Pts,10 Feb IST-NAM vs NED
Jack Brassell (Namibia),0 Pts,10 Feb IST-NAM vs NED
Jan Balt (Namibia),0 Pts,10 Feb IST-NAM vs NED
Kyle Klein (Netherlands),0 Pts,10 Feb IST-NAM vs NED
Malan Kruger (Namibia),0 Pts,10 Feb IST-NAM vs NED
Noah Croes (Netherlands),0 Pts,10 Feb IST-NAM vs NED
Paul van Meekeren (Netherlands),0 Pts,10 Feb IST-NAM vs NED
Saqib Zulfiqar (Netherlands),0 Pts,10 Feb IST-NAM vs NED
