0,1,Match_Name
Tim Seifert (New Zealand),222 Pts,10 Feb IST-NZ vs UAE
Finn Allen (New Zealand),149 Pts,10 Feb IST-NZ vs UAE
Muhammad Waseem (United Arab Emirates),111 Pts,10 Feb IST-NZ vs UAE
Matt Henry (New Zealand),110 Pts,10 Feb IST-NZ vs UAE
Mitchell Santner (New Zealand),87 Pts,10 Feb IST-NZ vs UAE
Alishan Sharafu (United Arab Emirates),74 Pts,10 Feb IST-NZ vs UAE
Glenn Phillips (New Zealand),66 Pts,10 Feb IST-NZ vs UAE
Lockie Ferguson (New Zealand),49 Pts,10 Feb IST-NZ vs UAE
Jacob Duffy (New Zealand),47 Pts,10 Feb IST-NZ vs UAE
Mayank Kumar (United Arab Emirates),45 Pts,10 Feb IST-NZ vs UAE
Rachin Ravindra (New Zealand),27 Pts,10 Feb IST-NZ vs UAE
Haider Ali (United Arab Emirates),23 Pts,10 Feb IST-NZ vs UAE
James Neesham (New Zealand),22 Pts,10 Feb IST-NZ vs UAE
Daryl Mitchell (New Zealand),20 Pts,10 Feb IST-NZ vs UAE
Aryansh Sharma (United Arab Emirates),15 Pts,10 Feb IST-NZ vs UAE
Sohaib Khan (United Arab Emirates),14 Pts,10 Feb IST-NZ vs UAE
Mark Chapman (New Zealand),10 Pts,10 Feb IST-NZ vs UAE
Dhruv Parashar (United Arab Emirates),5 Pts,10 Feb IST-NZ vs UAE
Harshit Kaushik (United Arab Emirates),2 Pts,10 Feb IST-NZ vs UAE
Adam Milne (New Zealand),0 Pts,10 Feb IST-NZ vs UAE
Cole McConchie (New Zealand),0 Pts,10 Feb IST-NZ vs UAE
Devon Conway (New Zealand),0 Pts,10 Feb IST-NZ vs UAE
Ish Sodhi (New Zealand),0 Pts,10 Feb IST-NZ vs UAE
Kyle Jamieson (New Zealand),0 Pts,10 Feb IST-NZ vs UAE
Michael Bracewell (New Zealand),0 Pts,10 Feb IST-NZ vs UAE
Muhammad Farooq (United Arab Emirates),0 Pts,10 Feb IST-NZ vs UAE
Muhammad Jawadullah (United Arab Emirates),0 Pts,10 Feb IST-NZ vs UAE
Muhammad Zohaib (United Arab Emirates),0 Pts,10 Feb IST-NZ vs UAE
Simranjeet Singh (United Arab Emirates),0 Pts,10 Feb IST-NZ vs UAE
Junaid Siddique (United Arab Emirates),-11 Pts,10 Feb IST-NZ vs UAE
Muhammad Rohid (United Arab Emirates),-14 Pts,10 Feb IST-NZ vs UAE
Muhammad Arfan (United Arab Emirates),-17 Pts,10 Feb IST-NZ vs UAE
