0,1,Match_Name
Shadley van Schalkwyk (United States),227 Pts,10 Feb IST-PAK vs USA
Shadab Khan (Pakistan),207 Pts,10 Feb IST-PAK vs USA
Sahibzada Farhan (Pakistan),184 Pts,10 Feb IST-PAK vs USA
Usman Tariq (Pakistan),178 Pts,10 Feb IST-PAK vs USA
Shayan Jahangir (United States),128 Pts,10 Feb IST-PAK vs USA
Shubham Ranjane (United States),95 Pts,10 Feb IST-PAK vs USA
Babar Azam (Pakistan),87 Pts,10 Feb IST-PAK vs USA
Shaheen Shah Afridi (Pakistan),84 Pts,10 Feb IST-PAK vs USA
Saurabh Netravalkar (United States),72 Pts,10 Feb IST-PAK vs USA
Mohammad Mohsin (United States),66 Pts,10 Feb IST-PAK vs USA
Abrar Ahmad (Pakistan),64 Pts,10 Feb IST-PAK vs USA
Milind Kumar (United States),61 Pts,10 Feb IST-PAK vs USA
Mohammad Nawaz (Pakistan),37 Pts,10 Feb IST-PAK vs USA
Harmeet Singh (United States),35 Pts,10 Feb IST-PAK vs USA
Saim Ayub (Pakistan),27 Pts,10 Feb IST-PAK vs USA
Andries Gous (United States),20 Pts,10 Feb IST-PAK vs USA
Salman Ali Agha (Pakistan),16 Pts,10 Feb IST-PAK vs USA
Sanjay Krishnamurthi (United States),15 Pts,10 Feb IST-PAK vs USA
Faheem Ashraf (Pakistan),6 Pts,10 Feb IST-PAK vs USA
Usman Khan (Pakistan),0 Pts,10 Feb IST-PAK vs USA
Ali Khan (United States),0 Pts,10 Feb IST-PAK vs USA
Fakhar Zaman (Pakistan),0 Pts,10 Feb IST-PAK vs USA
Jasdeep Singh (United States),0 Pts,10 Feb IST-PAK vs USA
Khwaja Nafay (Pakistan),0 Pts,10 Feb IST-PAK vs USA
Naseem Shah (Pakistan),0 Pts,10 Feb IST-PAK vs USA
Nosthush Kenjige (United States),0 Pts,10 Feb IST-PAK vs USA
Saiteja Mukkamalla (United States),0 Pts,10 Feb IST-PAK vs USA
Salman Ali Mirza (Pakistan),0 Pts,10 Feb IST-PAK vs USA
Shehan Jayasuriya (United States),0 Pts,10 Feb IST-PAK vs USA
Monank Patel (United States),-27 Pts,10 Feb IST-PAK vs USA
