0,1,Match_Name
Lungi Ngidi (South Africa),246 Pts,11 Feb IST-AFG vs SA
Azmatullah Omarzai (Afghanistan),167 Pts,11 Feb IST-AFG vs SA
Rashid Khan (Afghanistan),155 Pts,11 Feb IST-AFG vs SA
Rahmanullah Gurbaz (Afghanistan),152 Pts,11 Feb IST-AFG vs SA
Ryan Rickelton (South Africa),134 Pts,11 Feb IST-AFG vs SA
Quinton de Kock (South Africa),115 Pts,11 Feb IST-AFG vs SA
Marco Jansen (South Africa),85 Pts,11 Feb IST-AFG vs SA
Keshav Maharaj (South Africa),71 Pts,11 Feb IST-AFG vs SA
Fazalhaq Farooqi (Afghanistan),52 Pts,11 Feb IST-AFG vs SA
George Linde (South Africa),45 Pts,11 Feb IST-AFG vs SA
David Miller (South Africa),43 Pts,11 Feb IST-AFG vs SA
Dewald Brevis (South Africa),36 Pts,11 Feb IST-AFG vs SA
Kagiso Rabada (South Africa),34 Pts,11 Feb IST-AFG vs SA
Aiden Markram (South Africa),21 Pts,11 Feb IST-AFG vs SA
Ibrahim Zadran (Afghanistan),20 Pts,11 Feb IST-AFG vs SA
Mohammad Nabi (Afghanistan),16 Pts,11 Feb IST-AFG vs SA
Tristan Stubbs (South Africa),16 Pts,11 Feb IST-AFG vs SA
Noor Ahmad (Afghanistan),8 Pts,11 Feb IST-AFG vs SA
Sediqullah Atal (Afghanistan),5 Pts,11 Feb IST-AFG vs SA
Mujeeb Ur Rahman (Afghanistan),2 Pts,11 Feb IST-AFG vs SA
Abdullah Ahmadzai (Afghanistan),0 Pts,11 Feb IST-AFG vs SA
Anrich Nortje (South Africa),0 Pts,11 Feb IST-AFG vs SA
Corbin Bosch (South Africa),0 Pts,11 Feb IST-AFG vs SA
Donovan Ferreira (South Africa),0 Pts,11 Feb IST-AFG vs SA
Jason Smith (South Africa),0 Pts,11 Feb IST-AFG vs SA
Kwena Maphaka (South Africa),0 Pts,11 Feb IST-AFG vs SA
Mohammad Ishaq (Afghanistan),0 Pts,11 Feb IST-AFG vs SA
Naveen-ul-Haq (Afghanistan),0 Pts,11 Feb IST-AFG vs SA
Shahidullah Kamal (Afghanistan),0 Pts,11 Feb IST-AFG vs SA
Tony de Zorzi (South Africa),0 Pts,11 Feb IST-AFG vs SA
Ziaur Rahman (Afghanistan),0 Pts,11 Feb IST-AFG vs SA
Gulbadin Naib (Afghanistan),-5 Pts,11 Feb IST-AFG vs SA
Darwish Rasooli (Afghanistan),-10 Pts,11 Feb IST-AFG vs SA
