0,1,Match_Name
Nathan Ellis (Australia),340 Pts,11 Feb IST-AUS vs IRE
Adam Zampa (Australia),243 Pts,11 Feb IST-AUS vs IRE
George Dockrell (Ireland),135 Pts,11 Feb IST-AUS vs IRE
Josh Inglis (Australia),125 Pts,11 Feb IST-AUS vs IRE
Mark Adair (Ireland),116 Pts,11 Feb IST-AUS vs IRE
Cameron Green (Australia),96 Pts,11 Feb IST-AUS vs IRE
Marcus Stoinis (Australia),84 Pts,11 Feb IST-AUS vs IRE
Matthew Kuhnemann (Australia),64 Pts,11 Feb IST-AUS vs IRE
Matthew Humphreys (Ireland),55 Pts,11 Feb IST-AUS vs IRE
Cooper Connolly (Australia),52 Pts,11 Feb IST-AUS vs IRE
Matt Renshaw (Australia),49 Pts,11 Feb IST-AUS vs IRE
Harry Tector (Ireland),33 Pts,11 Feb IST-AUS vs IRE
Ben Calitz (Ireland),22 Pts,11 Feb IST-AUS vs IRE
Glenn Maxwell (Australia),20 Pts,11 Feb IST-AUS vs IRE
Ross Adair (Ireland),20 Pts,11 Feb IST-AUS vs IRE
Travis Head (Australia),17 Pts,11 Feb IST-AUS vs IRE
Paul Stirling (Ireland),16 Pts,11 Feb IST-AUS vs IRE
Lorcan Tucker (Ireland),12 Pts,11 Feb IST-AUS vs IRE
Xavier Bartlett (Australia),7 Pts,11 Feb IST-AUS vs IRE
Curtis Camphar (Ireland),5 Pts,11 Feb IST-AUS vs IRE
Gareth Delany (Ireland),3 Pts,11 Feb IST-AUS vs IRE
Ben Dwarshuis (Australia),0 Pts,11 Feb IST-AUS vs IRE
Ben White (Ireland),0 Pts,11 Feb IST-AUS vs IRE
Craig Young (Ireland),0 Pts,11 Feb IST-AUS vs IRE
Josh Hazlewood (Australia),0 Pts,11 Feb IST-AUS vs IRE
Josh Little (Ireland),0 Pts,11 Feb IST-AUS vs IRE
Matthew Short (Australia),0 Pts,11 Feb IST-AUS vs IRE
Mitchell Marsh (Australia),0 Pts,11 Feb IST-AUS vs IRE
Pat Cummins (Australia),0 Pts,11 Feb IST-AUS vs IRE
Tim David (Australia),0 Pts,11 Feb IST-AUS vs IRE
Tim Tector (Ireland),0 Pts,11 Feb IST-AUS vs IRE
Barry McCarthy (Ireland),-12 Pts,11 Feb IST-AUS vs IRE
