0,1,Match_Name
Sherfane Rutherford (West Indies),202 Pts,11 Feb IST-ENG vs WI
Gudakesh Motie (West Indies),176 Pts,11 Feb IST-ENG vs WI
Roston Chase (West Indies),170 Pts,11 Feb IST-ENG vs WI
Adil Rashid (England),139 Pts,11 Feb IST-ENG vs WI
Jamie Overton (England),122 Pts,11 Feb IST-ENG vs WI
Sam Curran (England),117 Pts,11 Feb IST-ENG vs WI
Phil Salt (England),93 Pts,11 Feb IST-ENG vs WI
Jason Holder (West Indies),84 Pts,11 Feb IST-ENG vs WI
Shamar Joseph (West Indies),67 Pts,11 Feb IST-ENG vs WI
Jacob Bethell (England),64 Pts,11 Feb IST-ENG vs WI
Shimron Hetmyer (West Indies),59 Pts,11 Feb IST-ENG vs WI
Akeal Hosein (West Indies),53 Pts,11 Feb IST-ENG vs WI
Romario Shepherd (West Indies),52 Pts,11 Feb IST-ENG vs WI
Rovman Powell (West Indies),46 Pts,11 Feb IST-ENG vs WI
Jos Buttler (England),40 Pts,11 Feb IST-ENG vs WI
Jofra Archer (England),35 Pts,11 Feb IST-ENG vs WI
Tom Banton (England),32 Pts,11 Feb IST-ENG vs WI
Harry Brook (England),23 Pts,11 Feb IST-ENG vs WI
Brandon King (West Indies),16 Pts,11 Feb IST-ENG vs WI
Shai Hope (West Indies),0 Pts,11 Feb IST-ENG vs WI
Ben Duckett (England),0 Pts,11 Feb IST-ENG vs WI
Jayden Seales (West Indies),0 Pts,11 Feb IST-ENG vs WI
Johnson Charles (West Indies),0 Pts,11 Feb IST-ENG vs WI
Josh Tongue (England),0 Pts,11 Feb IST-ENG vs WI
Luke Wood (England),0 Pts,11 Feb IST-ENG vs WI
Matthew Forde (West Indies),0 Pts,11 Feb IST-ENG vs WI
Nicholas Pooran (West Indies),0 Pts,11 Feb IST-ENG vs WI
Quentin Sampson (West Indies),0 Pts,11 Feb IST-ENG vs WI
Rehan Ahmed (England),0 Pts,11 Feb IST-ENG vs WI
Liam Dawson (England),-7 Pts,11 Feb IST-ENG vs WI
Will Jacks (England),-14 Pts,11 Feb IST-ENG vs WI
