0,1,Match_Name
Hardik Pandya (India),296 Pts,12 Feb IST-IND vs NAM
Gerhard Erasmus (Namibia),285 Pts,12 Feb IST-IND vs NAM
Varun Chakravarthy (India),207 Pts,12 Feb IST-IND vs NAM
Axar Patel (India),176 Pts,12 Feb IST-IND vs NAM
Ishan Kishan (India),137 Pts,12 Feb IST-IND vs NAM
Shivam Dube (India),111 Pts,12 Feb IST-IND vs NAM
Jasprit Bumrah (India),91 Pts,12 Feb IST-IND vs NAM
Louren Steenkamp (Namibia),69 Pts,12 Feb IST-IND vs NAM
Sanju Samson (India),69 Pts,12 Feb IST-IND vs NAM
Ben Shikongo (Namibia),49 Pts,12 Feb IST-IND vs NAM
Tilak Varma (India),48 Pts,12 Feb IST-IND vs NAM
Jan Frylinck (Namibia),42 Pts,12 Feb IST-IND vs NAM
JJ Smit (Namibia),41 Pts,12 Feb IST-IND vs NAM
Bernard Scholtz (Namibia),33 Pts,12 Feb IST-IND vs NAM
Arshdeep Singh (India),32 Pts,12 Feb IST-IND vs NAM
Zane Green (Namibia),16 Pts,12 Feb IST-IND vs NAM
Rinku Singh (India),6 Pts,12 Feb IST-IND vs NAM
Max Heingo (Namibia),5 Pts,12 Feb IST-IND vs NAM
Ruben Trumpelmann (Namibia),4 Pts,12 Feb IST-IND vs NAM
Abhishek Sharma (India),0 Pts,12 Feb IST-IND vs NAM
Dylan Leicher (Namibia),0 Pts,12 Feb IST-IND vs NAM
Harshit Rana (India),0 Pts,12 Feb IST-IND vs NAM
Jack Brassell (Namibia),0 Pts,12 Feb IST-IND vs NAM
Jan Balt (Namibia),0 Pts,12 Feb IST-IND vs NAM
Kuldeep Yadav (India),0 Pts,12 Feb IST-IND vs NAM
Mohammed Siraj (India),0 Pts,12 Feb IST-IND vs NAM
Washington Sundar (India),0 Pts,12 Feb IST-IND vs NAM
Willem Myburgh (Namibia),0 Pts,12 Feb IST-IND vs NAM
Suryakumar Yadav (India),-6 Pts,12 Feb IST-IND vs NAM
Jan Nicol Loftie-Eaton (Namibia),-11 Pts,12 Feb IST-IND vs NAM
Malan Kruger (Namibia),-14 Pts,12 Feb IST-IND vs NAM
