0,1,Match_Name
Crishan Kalugamage (Italy),246 Pts,12 Feb IST-ITA vs NEP
Ben Manenti (Italy),156 Pts,12 Feb IST-ITA vs NEP
Anthony Mosca (Italy),137 Pts,12 Feb IST-ITA vs NEP
Justin Mosca (Italy),121 Pts,12 Feb IST-ITA vs NEP
JJ Smuts (Italy),77 Pts,12 Feb IST-ITA vs NEP
Jaspreet Singh (Italy),52 Pts,12 Feb IST-ITA vs NEP
Harry Manenti (Italy),50 Pts,12 Feb IST-ITA vs NEP
Rohit Paudel (Nepal),47 Pts,12 Feb IST-ITA vs NEP
Gian-Piero Meade (Italy),40 Pts,12 Feb IST-ITA vs NEP
Aarif Sheikh (Nepal),35 Pts,12 Feb IST-ITA vs NEP
Ali Hasan (Italy),32 Pts,12 Feb IST-ITA vs NEP
Marcus Campopiano (Italy),20 Pts,12 Feb IST-ITA vs NEP
Karan KC (Nepal),13 Pts,12 Feb IST-ITA vs NEP
Dipendra Singh Airee (Nepal),9 Pts,12 Feb IST-ITA vs NEP
Nandan Yadav (Nepal),7 Pts,12 Feb IST-ITA vs NEP
Lalit Rajbanshi (Nepal),6 Pts,12 Feb IST-ITA vs NEP
Gulsan Jha (Nepal),3 Pts,12 Feb IST-ITA vs NEP
Lokesh Bam (Nepal),3 Pts,12 Feb IST-ITA vs NEP
Grant Stewart (Italy),1 Pts,12 Feb IST-ITA vs NEP
Basir Ahamad (Nepal),0 Pts,12 Feb IST-ITA vs NEP
Sher Malla (Nepal),0 Pts,12 Feb IST-ITA vs NEP
Sompal Kami (Nepal),0 Pts,12 Feb IST-ITA vs NEP
Sundeep Jora (Nepal),0 Pts,12 Feb IST-ITA vs NEP
Syed Naqvi (Italy),0 Pts,12 Feb IST-ITA vs NEP
Thomas Draca (Italy),0 Pts,12 Feb IST-ITA vs NEP
Wayne Madsen (Italy),0 Pts,12 Feb IST-ITA vs NEP
Zain Ali (Italy),0 Pts,12 Feb IST-ITA vs NEP
Sandeep Lamichhane (Nepal),-2 Pts,12 Feb IST-ITA vs NEP
Aasif Sheikh (Nepal),-3 Pts,12 Feb IST-ITA vs NEP
Kushal Bhurtel (Nepal),-22 Pts,12 Feb IST-ITA vs NEP
