0,1,Match_Name
Pavan Rathnayake (Sri Lanka),180 Pts,12 Feb IST-SL vs OM
Maheesh Theekshana (Sri Lanka),159 Pts,12 Feb IST-SL vs OM
Kusal Mendis (Sri Lanka),138 Pts,12 Feb IST-SL vs OM
Dasun Shanaka (Sri Lanka),120 Pts,12 Feb IST-SL vs OM
Dushmantha Chameera (Sri Lanka),119 Pts,12 Feb IST-SL vs OM
Jiten Ramanandi (Oman),102 Pts,12 Feb IST-SL vs OM
Kamindu Mendis (Sri Lanka),102 Pts,12 Feb IST-SL vs OM
Dunith Wellalage (Sri Lanka),88 Pts,12 Feb IST-SL vs OM
Mohammad Nadeem (Oman),48 Pts,12 Feb IST-SL vs OM
Matheesha Pathirana (Sri Lanka),46 Pts,12 Feb IST-SL vs OM
Kamil Mishara (Sri Lanka),40 Pts,12 Feb IST-SL vs OM
Dushan Hemantha (Sri Lanka),35 Pts,12 Feb IST-SL vs OM
Sufyan Mehmood (Oman),32 Pts,12 Feb IST-SL vs OM
Pathum Nissanka (Sri Lanka),25 Pts,12 Feb IST-SL vs OM
Jay Odedra (Oman),24 Pts,12 Feb IST-SL vs OM
Wasim Ali (Oman),22 Pts,12 Feb IST-SL vs OM
Shah Faisal (Oman),21 Pts,12 Feb IST-SL vs OM
Aamir Kaleem (Oman),12 Pts,12 Feb IST-SL vs OM
Vinayak Shukla (Oman),11 Pts,12 Feb IST-SL vs OM
Jatinder Singh (Oman),1 Pts,12 Feb IST-SL vs OM
Ashish Odedara (Oman),0 Pts,12 Feb IST-SL vs OM
Charith Asalanka (Sri Lanka),0 Pts,12 Feb IST-SL vs OM
Dhananjaya de Silva (Sri Lanka),0 Pts,12 Feb IST-SL vs OM
Eshan Malinga (Sri Lanka),0 Pts,12 Feb IST-SL vs OM
Hassnain Shah (Oman),0 Pts,12 Feb IST-SL vs OM
Janith Liyanage (Sri Lanka),0 Pts,12 Feb IST-SL vs OM
Karan Sonavale (Oman),0 Pts,12 Feb IST-SL vs OM
Kusal Perera (Sri Lanka),0 Pts,12 Feb IST-SL vs OM
Pramod Madushan (Sri Lanka),0 Pts,12 Feb IST-SL vs OM
Shafiq Jan (Oman),0 Pts,12 Feb IST-SL vs OM
Shakeel Ahmed (Oman),0 Pts,12 Feb IST-SL vs OM
Wanindu Hasaranga (Sri Lanka),0 Pts,12 Feb IST-SL vs OM
Nadeem Khan (Oman),-4 Pts,12 Feb IST-SL vs OM
Hammad Mirza (Oman),-15 Pts,12 Feb IST-SL vs OM
