Player,Points
Shadley van Schalkwyk,752 Pts
Azmatullah Omarzai,683 Pts
Blessing Muzarbani,680 Pts
Varun Chakravarthy,637 Pts
Bas de Leede,584 Pts
Jason Holder,581 Pts
Michael Leask,580 Pts
Lungi Ngidi,573 Pts
Hardik Pandya,565 Pts
Adam Zampa,542 Pts
Sahibzada Farhan,533 Pts
Usman Tariq,518 Pts
Ben Manenti,511 Pts
Gerhard Erasmus,503 Pts
Sam Curran,501 Pts
Dipendra Singh Airee,490 Pts
Shivam Dube,488 Pts
Brad Evans,486 Pts
Saim Ayub,477 Pts
Crishan Kalugamage,475 Pts
Shadab Khan,468 Pts
Shamar Joseph,458 Pts
Jamie Overton,457 Pts
Harmeet Singh,453 Pts
Marco Jansen,450 Pts
George Dockrell,449 Pts
Rashid Khan,442 Pts
Axar Patel,440 Pts
Ishan Kishan,437 Pts
Junaid Siddique,435 Pts
Tim Seifert,428 Pts
Glenn Phillips,428 Pts
Will Jacks,421 Pts
Nathan Ellis,409 Pts
Maheesh Theekshana,408 Pts
Pathum Nissanka,407 Pts
Aiden Markram,390 Pts
Matthew Forde,388 Pts
Corbin Bosch,385 Pts
Logan van Beek,378 Pts
Gudakesh Motie,377 Pts
Romario Shepherd,367 Pts
Ryan Rickelton,364 Pts
Sherfane Rutherford,362 Pts
Aryan Dutt,361 Pts
Pavan Rathnayake,360 Pts
Mujeeb Ur Rahman,359 Pts
Kusal Mendis,357 Pts
Shubham Ranjane,349 Pts
Tom Banton,347 Pts
Shimron Hetmyer,347 Pts
Mohammad Nabi,345 Pts
Kamindu Mendis,345 Pts
Adil Rashid,336 Pts
Mohammad Mohsin,331 Pts
Shai Hope,327 Pts
Ibrahim Zadran,324 Pts
Jofra Archer,319 Pts
Rahmanullah Gurbaz,313 Pts
Michael Jones,303 Pts
Suryakumar Yadav,299 Pts
Dushan Hemantha,298 Pts
Saad Bin Zafar,296 Pts
Finn Allen,294 Pts
Marcus Stoinis,290 Pts
Sikandar Raza,289 Pts
Jasprit Bumrah,288 Pts
